,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,Product Description,State,Review,Date
464,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Good for gym flooring.,NRDZA,4.0,United Kingdom,Size Name: 8 TILES (32 Square Feet)Colour Name: Grey,Verified Purchase,Ordered these in grey. Pieces fit together well with the sticky tabs underneath. Worth the money I’d say. Easy to clean.Con: pieces can come slightly apart sometimes. You can see the gaps but still a good 8/10.,2020-03-21
471,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Easy to lay,mandy b.,5.0,United Kingdom,nan,Verified Purchase,Acro,2020-01-22
476,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Great,The AO,5.0,United Kingdom,nan,Verified Purchase,Perfect for our gym room.,2020-02-09
492,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Easy to fit,Paul Shelton,4.0,United Kingdom,Size Name: 40 TILES (160 Square Feet)Colour Name: Black,Verified Purchase,Very good but ideally could be thicker.,2020-01-26
537,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,easy to put together,andrea starbuck,4.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Black,Verified Purchase,gym,2020-01-19
572,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Great product and service,Amazon Customer,5.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Black,Verified Purchase,"Light, easily fits together. Very strong.",2020-03-19
573,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Fine for the price,Adam Everitt,3.0,United Kingdom,Size Name: 24 TILES (96 Square Feet)Colour Name: Black,Verified Purchase,Cheap get what you pay for but do the job - tear easily if you drop things at odd angles on them. Wouldn’t say they’re heavy duty but do the job just fine,2020-03-14
583,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Brilliant Value for Money,Hayley Wilson,5.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Orange,Verified Purchase,"Bought for my sons bedroom to put a punchbag over.  Excellent size, quality and slip proof mats.  Very quick delivery.",2020-01-23
595,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Good quality.,shanimarshall,5.0,United Kingdom,Size Name: 6 TILES (24 Square Feet)Colour Name: Grey,Verified Purchase,Thick and good quality.,2020-01-09
597,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Gym,P.c,5.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Black,Verified Purchase,Done full room with them for gym stuff. Very happy so far,2020-03-15
611,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Home gym flooring,patrick sweetingham,5.0,United Kingdom,Size Name: 48 TILES (192 Square Feet)Colour Name: Blue,Verified Purchase,So glad I've done garage into a gym it saves paying load of money for me and my wife to go to gym.,2020-02-06
637,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Gravy,Amazon Customer,5.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Black,Verified Purchase,Does the job,2020-01-26
650,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Great,Mr. S. A. Johnson,5.0,United Kingdom,nan,Verified Purchase,Great easy product,2020-03-18
653,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Simple easy to use,Edwin Thurston,5.0,United Kingdom,Size Name: 48 TILES (192 Square Feet)Colour Name: Grey,Verified Purchase,Is what is,2020-03-06
668,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Good product,Daniel Lawson,5.0,United Kingdom,Size Name: 16 TILES (64 Square Feet)Colour Name: Blue,Verified Purchase,Used for working out on our decking in the garden works well,2020-03-27
