Product,Category,Price,Individual Review,Location,Date,Review,Helpful
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-07-02,"Perfect for my home gym. Easy to clean using a normal mop, easy to cut to size in awkward corners. Sound proof, perfect thickness. I totally recommend. Buy more so you can use spares to fill gaps!",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-03-28,Loved these rubber floor tiles we have layer them on our garage floor it looks really nice and tidy.price is very good to and delivery was within a few days of ordering.Thank you Amazon.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,3.0,United Kingdom,2019-12-25,"Have had these for a few weeks they provide nice coverage for the gym I have in the garage, but I have noticed that the weights are leaving indents, even those weighing 5kg, so not sure over the longer term these will be suitable.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-06-13,"...you tape the bits together. I am using the mats as a floor for step, circuit training etc. It works well most of the time, but separates when I do burpees etc. I have used gorilla tape to tape the underside together and the mat now works ok.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-06-16,"Ordered, delivery was in 10 days but it turned up up in two.Very easy to use. I didnt bother with the adhesive stickers I just used good old silicone.Needed this for my home gym and looks really good. Need to order more as I measured up wrong but you get a good idea with my attached photo.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-01-28,"We are using this flooring in our garage which we use as a utility room for washing machine and freezer and general access when walking the dogs etc. It took just a couple of hours to lay the tiles directly on the concrete garage floor, with are very pleasing end result. It has good appearance, the surface is easy to clean, is durable (not suitable to drive a car on) and perfect for walking on by us and our dogs.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-01-05,"Very good, only needed 3 but ordered 6 incase any were to break.. Needed to use the edges from the extra 3 to make sure all edges were rounded off otherwise you're left with jigsaw edges",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-07-06,"very good, only issue is the connection ends can disconnect easily after a while if you are doing anything like lunges. good foot grip otherwise and also thick enough to have heavy weights on",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-06-24,"Wish i got thicker matts as im a big lad, my fault.  Spot on otherwise.  Might order more to do my full garage floor.Order came quicker than expected,  well done",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,2.0,United Kingdom,2020-06-28,Not the best. Bought to lay on the floor for a home gym and they come loose and start moving constantly. Save your money,0
